order_value,current_shipping_cost,current_carrier,lead_time,supplier_diversity,consolidation_score,shipping_ratio,order_frequency,geographic_zone,alternative_cost_ups,alternative_cost_fedex,alternative_cost_usps,potential_savings,optimization_opportunity
252.0,25.2,UPS,14,DVBE,2,0.09999999999999999,Quarterly,California,0,0,14.874444444444444,10.325555555555555,1
576.0,57.6,UPS,14,DVBE,2,0.1,Quarterly,California,0,0,14.874444444444444,42.72555555555556,1
3168.0,316.8,FedEx,10,DVBE,3,0.1,Annual,California,0,0,14.874444444444444,301.92555555555555,1
3124.0,312.4,FedEx,10,DVBE,3,0.09999999999999999,Annual,California,0,0,14.874444444444444,297.5255555555555,1
660.0,66.0,FedEx,10,DVBE,2,0.1,Annual,California,0,0,14.874444444444444,51.12555555555556,1
95.0,9.5,Ground,5,DVBE,1,0.1,As-Needed,California,0,0,14.874444444444444,0.0,0
380.0,38.0,Ground,5,DVBE,1,0.1,As-Needed,California,0,0,14.874444444444444,23.125555555555557,1
2279.0,227.9,Freight,21,DVBE,3,0.1,Quarterly,California,0,0,14.874444444444444,213.02555555555557,1
673.0,67.3,Freight,21,DVBE,3,0.09999999999999999,As-Needed,California,0,0,14.874444444444444,52.425555555555555,1
930.0,93.0,UPS,14,DVBE,2,0.1,As-Needed,California,0,0,14.874444444444444,78.12555555555555,1
68640.0,6864.0,Freight,28,DVBE,4,0.1,Annual,California,0,0,14.874444444444444,6849.125555555555,1
1040.0,104.0,Ground,7,DVBE,2,0.1,As-Needed,California,0,0,14.874444444444444,89.12555555555555,1
5491.2,0.0,0,0,DVBE,1,0.0,As-Needed,California,0,0,14.874444444444444,0.0,0
1472.0,0.0,0,0,DVBE,1,0.0,As-Needed,California,0,0,14.874444444444444,0.0,0
6006.0,0.0,0,0,DVBE,1,0.0,As-Needed,California,0,0,14.874444444444444,0.0,0
13950.0,1395.0,Freight,21,DVBE,3,0.1,As-Needed,California,0,0,14.874444444444444,1380.1255555555556,1
3860.0,386.0,UPS,14,DVBE,2,0.1,As-Needed,California,0,0,14.874444444444444,371.12555555555554,1
23109.38,2310.94,FedEx,10,DVBE,3,0.10000008654494409,Quarterly,California,0,0,14.874444444444444,2296.0655555555554,1
12400.0,1240.0,Ground,7,DVBE,2,0.1,As-Needed,California,0,0,14.874444444444444,1225.1255555555556,1
620.0,62.0,UPS,7,DVBE,1,0.1,As-Needed,California,0,0,14.874444444444444,47.12555555555556,1
2450.0,245.0,Ground,14,DVBE,2,0.1,As-Needed,California,0,0,14.874444444444444,230.12555555555556,1
5412.0,541.2,Ground,14,DVBE,2,0.1,As-Needed,California,0,0,14.874444444444444,526.3255555555556,1
30498.0,3049.8,Electronic,1,DVBE,3,0.1,Annual,California,0,0,14.874444444444444,3034.9255555555555,1
30498.0,3049.8,Electronic,1,DVBE,3,0.1,Annual,California,0,0,14.874444444444444,3034.9255555555555,1
